               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04051,            0.011132,            0.011355,             0.83088,             0.93965,             0.95839,             0.35604,             0.04334,           0.0058633,           0.0072097,            0.009307,            0.009307,            0.009307
                  37,            0.044202,            0.011205,            0.012328,              0.9962,             0.98438,             0.99423,             0.53911,            0.040382,           0.0056141,           0.0072612,           0.0092872,           0.0092872,           0.0092872
                  38,            0.044688,            0.010604,           0.0098653,             0.83155,             0.97967,             0.98248,             0.47517,            0.031702,           0.0055381,           0.0074465,           0.0092674,           0.0092674,           0.0092674
                  39,            0.041268,            0.010565,            0.010537,             0.97594,             0.98605,             0.99279,             0.48389,            0.034068,           0.0054695,           0.0062914,           0.0092476,           0.0092476,           0.0092476
                  40,            0.040477,            0.010342,            0.010299,             0.90649,             0.95598,              0.9295,             0.46928,             0.03914,           0.0054083,           0.0067865,           0.0092278,           0.0092278,           0.0092278
                  41,            0.040266,            0.010275,           0.0084879,             0.87886,             0.86919,             0.89703,             0.41712,             0.03534,           0.0053626,            0.011183,            0.009208,            0.009208,            0.009208
                  42,            0.037686,           0.0094804,            0.010095,             0.83375,              0.8105,             0.90063,             0.46915,             0.03743,           0.0054465,            0.014996,           0.0091882,           0.0091882,           0.0091882
                  43,             0.04079,            0.010531,           0.0098192,             0.88641,             0.99755,             0.98123,             0.44771,            0.038066,            0.005434,           0.0050001,           0.0091684,           0.0091684,           0.0091684
                  44,            0.040368,            0.010354,           0.0081513,             0.84996,             0.99123,             0.99145,             0.56571,            0.031125,           0.0052651,           0.0047402,           0.0091486,           0.0091486,           0.0091486
                  45,            0.038263,           0.0090591,           0.0072983,             0.93054,                   1,             0.99116,             0.60218,            0.032195,           0.0051549,           0.0047459,           0.0091288,           0.0091288,           0.0091288
                  46,            0.038366,            0.010379,           0.0076335,             0.87209,             0.97035,             0.92396,             0.58009,            0.027945,           0.0050645,           0.0053128,            0.009109,            0.009109,            0.009109
                  47,            0.037493,            0.010353,           0.0095941,               0.964,             0.99167,             0.99415,             0.60037,            0.030786,               0.005,           0.0054819,           0.0090892,           0.0090892,           0.0090892
                  48,            0.039146,            0.010585,            0.010491,             0.99649,                   1,               0.995,             0.58586,            0.033736,             0.00489,            0.004919,           0.0090694,           0.0090694,           0.0090694
                  49,             0.03621,           0.0097618,           0.0089243,             0.99445,             0.99474,               0.995,              0.4965,            0.033046,           0.0050629,           0.0056951,           0.0090496,           0.0090496,           0.0090496
                  50,            0.037632,            0.011104,           0.0086585,             0.99774,             0.99626,               0.995,             0.55672,             0.03275,           0.0050285,           0.0047253,           0.0090298,           0.0090298,           0.0090298
                  51,            0.036401,           0.0093022,           0.0072139,             0.96481,             0.98438,             0.98985,              0.5555,            0.034688,           0.0051699,           0.0057538,             0.00901,             0.00901,             0.00901
